name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,pilots,films,created,edited,id
Sand Crawler,Digger Crawler,Corellia Mining Corporation,150000,36.8 ,30,46,30,50000,2 months,wheeled,[],"['1', '5']",2014-12-10T15:36:25.724000Z,2014-12-20T21:30:21.661000Z,4
T-16 skyhopper,T-16 skyhopper,Incom Corporation,14500,10.4 ,1200,1,1,50,0,repulsorcraft,[],['1'],2014-12-10T16:01:52.434000Z,2014-12-20T21:30:21.665000Z,6
X-34 landspeeder,X-34 landspeeder,SoroSuub Corporation,10550,3.4 ,250,1,1,5,unknown,repulsorcraft,[],['1'],2014-12-10T16:13:52.586000Z,2014-12-20T21:30:21.668000Z,7
TIE/LN starfighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,unknown,6.4,1200,1,0,65,2 days,starfighter,[],"['1', '2', '3']",2014-12-10T16:33:52.860000Z,2014-12-20T21:30:21.670000Z,8
Snowspeeder,t-47 airspeeder,Incom corporation,unknown,4.5,650,2,0,10,none,airspeeder,"['1', '18']",['2'],2014-12-15T12:22:12Z,2014-12-20T21:30:21.672000Z,14
TIE bomber,TIE/sa bomber,Sienar Fleet Systems,unknown,7.8,850,1,0,none,2 days,space/planetary bomber,[],"['2', '3']",2014-12-15T12:33:15.838000Z,2014-12-20T21:30:21.675000Z,16
AT-AT,All Terrain Armored Transport,"Kuat Drive Yards, Imperial Department of Military Research",unknown,20,60,5,40,1000,unknown,assault walker,[],"['2', '3']",2014-12-15T12:38:25.937000Z,2014-12-20T21:30:21.677000Z,18
AT-ST,All Terrain Scout Transport,"Kuat Drive Yards, Imperial Department of Military Research",unknown,2,90,2,0,200,none,walker,['13'],"['2', '3']",2014-12-15T12:46:42.384000Z,2014-12-20T21:30:21.679000Z,19
Storm IV Twin-Pod cloud car,Storm IV Twin-Pod,Bespin Motors,75000,7,1500,2,0,10,1 day,repulsorcraft,[],['2'],2014-12-15T12:58:50.530000Z,2014-12-20T21:30:21.681000Z,20
Sail barge,Modified Luxury Sail Barge,Ubrikkian Industries Custom Vehicle Division,285000,30,100,26,500,2000000,Live food tanks,sail barge,[],['3'],2014-12-18T10:44:14.217000Z,2014-12-20T21:30:21.684000Z,24
